PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Activity Summary,Ratio Activity,Ratio Potency (uM),Ratio Efficacy (%),530 nm Activity,530 nm Potency (uM),530 nm Efficacy (%),460 nm Activity,460 nm Potency (uM),460 nm Efficacy (%),Viability Activity,Viability Potency (uM),Viability Efficacy (%),Blue (460 nm) auto fluorescence outcome,Sample Source
3520,144210532,10483134,CCN1CCC2(CC1)COC3=C2C=C4C(=C3)CCN4C(=O)C5=CC=C(C=C5)C6=C(C=C(C=C6)C7=NN=C(O7)C)C.Cl,Inconclusive,5,,,inconclusive,inconclusive,,,active agonist,27.4305,88.5393,inactive,,0,active antagonist,15.4253,-97.7312,inactive,Pharma
3521,144210533,193943,CC(=O)C1=CC2=C(C=C1)OC([C@@H]([C@H]2NC(=O)C3=CC=C(C=C3)F)O)(C)C,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,Pharma
3522,144210534,18173271,CC1=NC(=NO1)C2=CC3=C(CCN(CC3)CCC4CCC(CC4)NC(=O)/C=C/C5=CC=C(C=C5)F)C=C2.Cl,Active,42,,,active agonist,active agonist,18.0942,22.3281,inactive,,0,active agonist,,19.4007,inactive,,0,inactive,Pharma
3523,144210535,53257735,CC1=NC2=CC=CC=C2N1C3CC4CCC(C3)N4CCC5(CCN(CC5)C(=O)C6=CC(=C(C=C6Cl)F)S(=O)(=O)NC)C7=CC(=CC=C7)F,Inactive,0,,,inactive,inactive,,0,active agonist,2.8613,40.4794,inactive,,0,active antagonist,6.91666,-79.1768,inactive,Pharma
3524,144210536,15981450,CC1=CC2=C(C=C1C(F)(F)F)N(CC2)C(=O)NC3=CN=C(C=C3)OC4=C(N=CC=C4)C.Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,active antagonist,44.3077,-79.7709,inactive,Pharma
3525,144210537,153939,C1[C@H](C2=C(O1)C=C(C=C2)OCC3=CC=CC=C3)N(C(=O)N)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive agonist,,,inactive,,0,inactive,Pharma
3526,144210538,170364,CC1=C(N=C(O1)C2=CC=CC=C2)CCOC3=CC=C(C=C3)C[C@@H](C(=O)O)NC4=CC=CC=C4C(=O)C5=CC=CC=C5,Inactive,0,,,inactive,inactive,,0,inconclusive agonist,18.4033,31.324,inactive,,0,active antagonist,40.4169,-95.2674,inactive,Pharma
3527,144210539,60196400,CCN(C(C)C)C(=O)C1=CC(=CC(=C1)C)OC[C@H](C)NC2=CC=NC=C2.CC1=CC=C(C=C1)S(=O)(=O)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,Pharma
3528,144210540,11472813,C1=CC(=C(C=C1N(CC(=O)N)CC(F)(F)F)C(F)(F)F)C#N,Inactive,0,,,inactive,inactive,,0,inconclusive agonist,,,inactive,,0,inactive,,0,inactive,Pharma
3529,144210541,9931156,C1=CC=C(C=C1)OC2=NC=CC(=N2)C3=C(N=CN3C(CO)CO)C4=CC=C(C=C4)F,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,Pharma
3530,144210542,10233356,CCC1=C(C=CC(=C1)SCC2=C(N=C(S2)C3=CC=C(C=C3)C(F)(F)F)CN4CCN(CC4)C5=CC=C(C=C5)OC)OCC(=O)O,Inconclusive,5,,,inconclusive,inconclusive antagonist,,,active agonist,2.27281,36.8593,inconclusive agonist,,12.0151,active antagonist,7.76062,-90.4798,inactive,Pharma
3531,144210543,5481119,CCN1C(=CC(=N1)CC2=CC=CC=C2)C3CCN(CC3)C[C@H]4C[C@@H](C[C@@H]4C5=CC(=CC=C5)F)N(C)[C@H](C(C)C)C(=O)O,Inactive,0,,,inactive,inactive,,0,active agonist,17.3739,32.0454,inconclusive agonist,,13.8101,inactive,,0,inactive,Pharma
3532,144210544,53316396,C1=CC(=CC(=C1)C2=N[N-]C(=N2)C(=O)N)C3=C(C=CC(=C3)F)OCC(C(F)(F)F)(F)F.O.[K+],Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inconclusive,,,inactive,Pharma
3533,144210545,9865233,CC(C)(C1=NC2=NC=C(N2N=C1)C3=CC(=C(C=C3)F)C4=C(C=CC=C4F)C#N)O,Inconclusive,5,,,inconclusive,inconclusive antagonist,,-15.6976,inconclusive agonist,54.941,236.238,inconclusive agonist,48.9662,49.4355,inactive,,0,inactive,Pharma
3534,144210546,60196401,CCCCC1=NC2=C(C=C1)[C@@H]([C@H]([C@@H]2C3=C(C=C(C=C3)OC)C[C@H](C)C(=O)[O-])C(=O)[O-])C4=CC5=C(C=C4)OCO5.[Na+].[Na+],Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,Pharma
3535,144210547,9882837,C1C2C(C3=C1C=C(C=C3)Cl)(N=C(S2)C4=CC=CC=C4)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,Pharma
3536,144210548,60196402,CN(C)C(=O)NC1(CCN(CC1)CC[C@]2(CN(CCO2)C(=O)C3=CC=CC=C3)C4=CC(=C(C=C4)F)F)C5=CC=CC=C5.Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,Pharma
3537,144210549,9938990,CN(C)C(=O)NC1(CCN(CC1)CCC[C@@]2(CCCN(C2)C(=O)C3=CC=CC=C3)C4=CC(=C(C=C4)Cl)Cl)C5=CC=CC=C5,Inactive,0,,,inactive,inactive,,0,inconclusive agonist,,30.484,inactive,,0,inconclusive antagonist,11.6795,-70.2809,inactive,Pharma
3538,144210550,60196403,COC1=CC=CC(=C1)C2=C(C=C(C=C2)/C=C\CN3CCCCCC3)Cl.Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inconclusive antagonist,51.6321,-50.0391,inactive,Pharma
3539,144210551,178019,CC(C)C1=C(C=C(C=C1)C(=O)N=C(N)N)S(=O)(=O)C.CS(=O)(=O)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,Pharma
3540,144210552,9842616,C1CC2CC(CC1N2C3=NC=CC=N3)NCC(=O)N4CC(C[C@H]4C#N)(F)F,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,Pharma
3541,144210553,9909677,CCN(CC)CCNC1=C2C(=C(C=C1)CNC=O)SC3=C(C2=O)C=C(C=C3)OC,Active,44,,,active agonist,active agonist,9.22352,36.801,inactive,,0,active agonist,6.91666,34.9658,active antagonist,9.04822,-54.3066,inactive,Pharma
3542,144210554,9954540,C1CCN[C@@H](C1)[C@H](C2=CC=CC=C2)NC(=O)C3=C(C(=CC=C3)C(F)(F)F)Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inconclusive antagonist,43.6412,-89.3683,inactive,Pharma
3543,144210555,44235958,C[C@@H]1CCC[C@@H](N1CC2=CC=C(C=C2)C[C@H](C(=O)N(C)C(C)C)NC(=O)C[C@H](C3=CC4=C(C=C3)OCO4)NS(=O)(=O)C5=CC6=C(C=C5)C=C(C=C6)OC)C.Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive agonist,,10.4537,active antagonist,38.2461,-91.5759,inactive,Pharma
3544,144210556,138394832,CN(C)C(=O)C1(CCN(CC1)CC[C@]2(CN(CCO2)C(=O)C3=CC=CC=C3)C4=CC(=C(C=C4)Cl)Cl)N5CCCCC5.Cl,Inconclusive,5,,,inconclusive,active agonist,51.3381,35.6646,inconclusive antagonist,36.3446,-61.1202,inactive,,0,active antagonist,21.2376,-85.3121,inactive,Pharma
3545,144210557,9869105,C1CN(CCN1CCC2=CC(=O)N(C3=C2C=CC(=C3)F)CC(=O)N)C4=NC=CC5=C4C=CS5,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,Pharma
3546,144210558,9824131,CC(C)[C@@H](C(=O)N[C@H]1CC2=CC=CC=C2[C@H]3CCC[C@H](N3C1=O)C(=O)O)SC(=O)C,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,Pharma
3547,144210559,9849616,CCC1=C(N(N=C1C(=O)NN2CCCCC2)C3=C(C=C(C=C3)Cl)Cl)C4=CC=C(C=C4)Br,Inactive,0,,,inactive,inactive,,0,active agonist,19.4938,39.3501,inactive,,0,inconclusive antagonist,24.5412,-76.8969,inactive,Pharma
3548,144210560,9895468,CN(C)C(=O)[C@@H]1C[C@H](CN1[C@]2(C3=C(C=CC(=C3)Cl)N(C2=O)S(=O)(=O)C4=C(C=C(C=C4)OC)OC)C5=CC=CC=C5OC)O,Active,41,,,active agonist,active agonist,,19.364,inactive,,0,active agonist,38.8952,27.5397,inactive,,0,inactive,Pharma
3549,144210561,9797360,C1CN2CCC1N(CC2)C(=O)OC3=CC=C(C=C3)Br,Inconclusive,5,,,inconclusive,inconclusive antagonist,,,inactive,,0,inactive,,0,inactive,,0,inactive,Pharma
3550,144210562,21935081,CCOC(=O)COC1=CC2=C(CCC(C2)NCC(C3=CC(=CC=C3)Cl)O)C=C1.Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,Pharma
3551,144210563,53316380,CCOC(=O)[C@]1([C@H](C2=CC=CC=C2O1)N)C3=CC=CC=C3,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,Pharma
3552,144210564,5311271,COC1=CC=CC(=C1OC)[C@@H](C2CCN(CC2)CCC3=CC=C(C=C3)F)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,Pharma
3553,144210565,60196405,C1CN2CCC1[C@@H](C2)[C@@H](C3=CC=CC=C3)NC(=O)C4=C(C=CC(=C4Cl)C(F)(F)F)Cl.Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inconclusive antagonist,,,inactive,Pharma
3554,144210566,53316382,C1=CC(=CC(=C1)F)CN2C3=C(C=C(C=C3)F)C=C2C(=O)NC4=CC5=C(C=C4)NC=C5,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inconclusive antagonist,48.9662,-95.6204,inactive,Pharma
3555,144210567,9872438,CC(C)C1=C2C(=CC(=C1)OC)S(=O)(=O)N(C2=O)COC3=CC(=O)N4C=CC=C(C4=N3)OCCN5CCCCC5,Inactive,0,,,inactive,inactive,,0,inactive,,0,active agonist,,13.1923,inactive,,0,inactive,Pharma
3556,144210568,60196406,CC1=CC(=C2C(=C1)C=C(N2CC(=O)O)C(=O)NC3=NC(=C(S3)CCC4CCCCC4)C5=CC(=C(C=C5OC)Cl)OC)C.C(=O)(C(F)(F)F)O,Inconclusive,30,,,inconclusive agonist,inconclusive agonist,31.779,65.0392,inactive,,0,active agonist,22.4978,42.5835,active antagonist,12.6514,-76.6297,inactive,Pharma
3557,144210569,9801235,C1CN(CCC1C2=CC=CC(=C2)CN)C(=O)C3=CC=C(O3)C#CC4=CC=CC=C4F,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,active antagonist,48.9662,-85.0615,inactive,Pharma
3558,144210570,24852044,CC[C@@H](C1=CC=CC=C1)NC(=O)C2=C(C=CC(=C2)F)[N-]S(=O)(=O)C3=CC=CC4=C3N=CC=C4.[Na+],Inactive,0,,,inactive,inactive,,0,inconclusive,,,inactive,,0,inactive,,0,inactive,Pharma
3559,144210571,10201497,COC1=CC=C(C=C1)C(=O)NC2=NC3=CC=CC=C3C(=C2C#N)NCC4=CC=CC=C4,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,Pharma
3560,144210572,24798733,C1=CC=C(C(=C1)C(=O)O)N2C=C(C(=O)C3=CC(=C(C=C32)Cl)NC4=C(C=C(C=C4Cl)F)F)C(=O)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,Pharma
3561,144210573,12148754,C1CN(CCC1C(=O)O)C2=C(C=C(C=C2)F)NC(=O)NC(=O)C3=CC(=C(C=C3Cl)F)F,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,Pharma
3562,144210574,60196407,CCOC(=O)O[C@H](C)OC(=O)C1=CC2=C(C=C1)N(C(=C2)C(=O)NC3CCN(CC3)C(C)C)CC4=NOC(=C4)C5=CC=C(S5)Cl.Cl,Inconclusive,5,,,inconclusive,active agonist,55.4336,45.0471,inconclusive antagonist,40.7793,-63.3381,inactive,,0,active antagonist,18.9281,-86.1023,inactive,Pharma
3563,144210575,60196408,CCN(CC1=CN=CC=C1)C(=O)C2=C(C(=CC=C2)Cl)[C@]3(C4=C(C=CC(=C4)Cl)N(C3=O)CC5=C(C=C(C=C5)OC)OC)C.Cl,Inconclusive,30,,,inconclusive agonist,inconclusive agonist,36.3446,122.074,inconclusive,,,inconclusive agonist,45.7551,54.3041,active antagonist,6.21975,-67.2346,inactive,Pharma
3564,144210576,60196409,C1CC1N2CCC(CC2)NC(=O)C3=NC4=C(N3CC5=NOC(=C5)C6=CC=C(S6)Cl)C=CC(=C4)C(=O)[O-].[Na+],Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inconclusive agonist,,,inactive,Pharma
3565,144210577,60196410,CC(C)N1CCC(CC1)NC(=O)C2=CC3=CC(=NC=C3N2CC(=O)NC4=NC=C(C=C4)Cl)OCCOC.CC(=O)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,Pharma
3566,144210578,60196411,CC(=O)NC1(CCN(CC1)CC[C@]2(CN(C(=O)CO2)C3=CC=CC=C3)C4=CC(=C(C=C4)Cl)Cl)C5=CC(=CC=C5)F.C(CC(=O)O)C(=O)O,Inactive,0,,,inactive,inactive,,0,inconclusive agonist,,,inactive,,0,active antagonist,18.1083,-82.9099,inactive,Pharma
3567,144210579,16654936,CCOC(=O)C1=CC=C(C=C1)C2CCC(CC2)NC[C@@H](COC3=CC(=C(C=C3)O)NS(=O)(=O)C)O.Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,active antagonist,42.6481,-102.67,inactive,Pharma
3568,144210580,25099474,CC1=CN(C2=C1C=C(C=C2)F)NC(=O)C3=CN=C(N=C3C)C4=CC=CC=N4,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive agonist,,12.2622,inactive,,0,inactive,Pharma
3569,144210581,9951932,CC1=NC=C(C=N1)[C@@H](CCCCCCC2=NC3=C(CCCN3)C=C2)CC(=O)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,Pharma
3570,144210582,24809526,C1CC(CCC1NC2=NC=NC3=C2C=NN3)OC[C@@H](C4=CC=CC=C4F)F,Inactive,0,,,inactive,inactive,,0,inconclusive agonist,,,inactive,,0,inactive,,0,inactive,Pharma
3571,144210583,60196412,CC(C)[C@@]1(CC[C@H](C1)[NH2+][C@H]2CCOC[C@H]2OC)C(=O)N3CCC4=C(C3)C=C(C=N4)C(F)(F)F.C(CC(=O)[O-])C(=O)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,Pharma
3572,144210584,44578765,CCOC1=CC=CC(=C1)N2C=C(N=C2C3=CC=C(C=C3)C)C(=O)N4CCN(CC4)C5=CC6=CC=CC=C6C(=C5)C(=O)[O-].[Na+],Inactive,0,,,inactive,inactive,,0,active agonist,52.45,49.063,active agonist,41.6625,25.478,active antagonist,46.7461,-73.896,inactive,Pharma
3573,144210585,5018304,C1=CC=C(C(=C1)CC(=O)[O-])NC2=C(C=CC=C2Cl)Cl.[Na+],Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,Cayman
3574,144210586,3715,CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)O,Inconclusive,5,,,inconclusive,inconclusive antagonist,,,inconclusive agonist,2.45412,88.6608,inactive,,0,inactive,,0,inactive,SIGMA
3575,144210587,456201,CC(=O)N1CCN(CC1)C2=CC=C(C=C2)OC[C@H]3CO[C@](O3)(CN4C=CN=C4)C5=C(C=C(C=C5)Cl)Cl,Inconclusive,5,,,inconclusive,inconclusive agonist,,14.4661,inconclusive antagonist,36.7195,-30.6433,inactive,,0,active antagonist,52.8725,-105.879,inactive,SIGMA
3576,144210588,53232,CC[C@H](C)C(=O)O[C@H]1C[C@H](C=C2[C@H]1[C@H]([C@H](C=C2)C)CC[C@@H]3C[C@H](CC(=O)O3)O)C,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,USP
3577,144210589,126941,CN(CC1=CN=C2C(=N1)C(=NC(=N2)N)N)C3=CC=C(C=C3)C(=O)N[C@@H](CCC(=O)O)C(=O)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,active antagonist,0.0570904,-32.1594,fluorescent,USP
3578,144210590,16759173,CC[C@H](C)C(=O)O[C@H]1C[C@@H](C=C2[C@H]1[C@H]([C@H](C=C2)C)CC[C@H](C[C@H](CC(=O)[O-])O)O)O.[Na+],Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,USP
3579,144210591,23674889,CCC1(C(=O)NC(=NC1=O)[O-])C2=CC=CC=C2.[Na+],Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
3580,144210592,61253,CCCCCCCCOC(=O)C1=CC(=C(C(=C1)O)O)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inconclusive antagonist,24.5412,-61.702,inactive,LightBiologicals
3581,144210593,13223,C1C2C=CC1C3C2C(=O)OC3=O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
3582,144210594,2733525,CC/C(=C(\C1=CC=CC=C1)/C2=CC=C(C=C2)OCCN(C)C)/C3=CC=CC=C3.C(C(=O)O)C(CC(=O)O)(C(=O)O)O,Inconclusive,5,,,inconclusive,inconclusive agonist,49.3903,131.253,active antagonist,53.3304,-68.1291,inactive,,0,active antagonist,32.3823,-118.007,inactive,SIGMA
3583,144210595,2723601,C1=NC2=C(N1)C(=S)N=C(N2)N,Inconclusive,30,,,inconclusive agonist,inconclusive agonist,,11.7585,inactive,,0,active agonist,,16.0446,active antagonist,9.77004,-51.5672,inactive,SIGMA
3584,144210596,15787,C1=CC(=CC=C1[N+](=O)[O-])OC2=C(C=C(C=C2)Cl)Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inconclusive agonist,,,inactive,Maybridge
3585,144210597,2796,CCOC(=O)C(C)(C)OC1=CC=C(C=C1)Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
3586,144210598,8413,CC1=C(C=CC(=C1)C2=CC(=C(C=C2)N)C)N,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
3587,144210599,7031,CN(C)C1=CC=C(C=C1)C(=O)C2=CC=C(C=C2)N(C)C,Inconclusive,30,,,inconclusive agonist,inconclusive agonist,,,inactive,,0,active agonist,,13.5314,inactive,,0,inconclusive,SIGMA
3588,144210600,657298,CCCC1=CC(=O)NC(=S)N1,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
3589,144210601,1775,C1=CC=C(C=C1)C2(C(=O)NC(=O)N2)C3=CC=CC=C3,Inactive,0,,,inactive,inactive,,0,inconclusive agonist,,,inactive,,0,inactive,,0,inactive,SIGMA
3590,144210602,4764,C1=CC=C2C(=C1)C(=O)OC2(C3=CC=C(C=C3)O)C4=CC=C(C=C4)O,Active,44,,,active agonist,active agonist,14.3405,43.0427,inactive,,0,active agonist,10.5495,36.4865,inactive,,0,inactive,SIGMA
3591,144210603,6629,CC(C)(C1=CC=CC=C1)OO,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
3592,144210604,7289,C(C(CCl)O)Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,Enamine
3593,144210605,5280343,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
3594,144210606,31249,CCOC(=O)CCC(=O)OCC,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,Acros
3595,144210607,445354,CC1=C(C(CCC1)(C)C)/C=C/C(=C/C=C/C(=C/CO)/C)/C,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,LightBiologicals
3596,144210608,5757,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=C3C=CC(=C4)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
3597,144210609,9153,C1=CC=C2C3=C4C(=CC=C3)C5=CC=CC=C5C4=CC2=C1,Active,42,,,active agonist,active agonist,54.941,67.4237,inconclusive agonist,58.1965,61.945,inconclusive agonist,54.941,270.795,inactive,,0,inactive,SIGMA
3598,144210610,2202,C1C2=C(C(=CC=C2)O)C(=O)C3=C1C=CC=C3O,Inconclusive,5,,,inconclusive,inconclusive agonist,,,inconclusive antagonist,,,inactive,,0,inactive,,0,inactive,SIGMA
3599,144210611,6427097,CC(C)CCCCCCOC(=O)CCCCC(=O)OCCCCCCC(C)C,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,TCI
3600,144210612,3639,C1NC2=CC(=C(C=C2S(=O)(=O)N1)S(=O)(=O)N)Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inconclusive agonist,,,inactive,SIGMA
3601,144210613,7443,C1=CC(=C(C=C1[N+](=O)[O-])Cl)Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
3602,144210614,10255083,CC1=C2C(=CC(=C1C(=O)O)O)C(=O)C3=C(C2=O)C(=C(C(=C3O)O)[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inconclusive antagonist,,,inactive,SIGMA
3603,144210615,31337,C(C(CO)(CO)[N+](=O)[O-])O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
3604,144210616,18692,C(C(CO)(CBr)CBr)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
3605,144210617,13297,C1=CC=C(C=C1)N=NC2=C(C=CC3=CC=CC=C32)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
3606,144210618,169132,CC1(CC(CC(C1)(C)CN=C=O)N=C=O)C,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
3607,144210619,4156,COS(=O)(=O)C,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
3608,144210620,7340,CC1=CC=CC=C1N=NC2=CC(=C(C=C2)N)C,Inactive,0,,,inactive,inactive,,0,inconclusive antagonist,,,inactive,,0,inactive,,0,inactive,SIGMA
3609,144210621,11164,C1C(O1)CO,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
3610,144210622,444913,C([C@@H]1[C@@H]2[C@@H]([C@H]([C@H](O1)O[C@@H]3[C@H](O[C@@H]([C@@H]([C@H]3O)O)O[C@@H]4[C@H](O[C@@H]([C@@H]([C@H]4O)O)O[C@@H]5[C@H](O[C@@H]([C@@H]([C@H]5O)O)O[C@@H]6[C@H](O[C@@H]([C@@H]([C@H]6O)O)O[C@@H]7[C@H](O[C@H](O2)[C@@H]([C@H]7O)O)CO)CO)CO)CO)CO)O)O)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
3611,144210623,853433,C/C=C/C1=CC(=C(C=C1)O)OC,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
3612,144210624,8561,CCCCCOC(=O)C1=CC=CC=C1C(=O)OCCCCC,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
3613,144210625,444795,CC1=C(C(CCC1)(C)C)/C=C/C(=C/C=C/C(=C/C(=O)O)/C)/C,Active,42,,,active agonist,active agonist,38.8524,40.9645,inactive,,0,active agonist,51.8105,43.1685,inactive,,0,inactive,SIGMA
3614,144210626,8172,C(COCCOCCO)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
3615,144210627,5994,CC(=O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CCC4=CC(=O)CC[C@]34C)C,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
3616,144210628,5807,CC(C)NCC(C1=CC(=C(C=C1)O)O)O.Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
3617,144210629,7185,CCCCC(CC)C(=O)OCCOCCOCCOC(=O)C(CC)CCCC,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
3618,144210630,33733,CC(C)CCCCCCCOC(=O)CCCCC(=O)OCCCCCCCC(C)C,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
3619,144210631,7833,C1CC2C(O2)CC1C3CO3,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
3620,144210632,8813,C1=CC(=CC=C1C(=N)N)OCCCCCOC2=CC=C(C=C2)C(=N)N.C(CS(=O)(=O)O)O.C(CS(=O)(=O)O)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
3621,144210633,3034368,C(CNC(=S)[S-])NC(=S)[S-].C(CNC(=S)[S-])NC(=S)[S-].[Mn+2].[Zn+2],Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inconclusive agonist,1.028,27.0586,inactive,LightBiologicals
3622,144210634,62311,COC1=C(C=CC(=C1)C2=CC(=C(C=C2)N)OC)N.Cl.Cl,Inconclusive,5,,,inconclusive,active agonist,,15.1126,active antagonist,34.3884,-44.19,inactive,,0,inactive,,0,inactive,SIGMA
3623,144210635,23284,CC(C)C(C(C)(C)COC(=O)C(C)C)OC(=O)C(C)C,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
3624,144210636,76013,CC(C)(C1=CC=CC=C1)C2=CC(=C(C=C2)O)C(C)(C)C3=CC=CC=C3,Inconclusive,30,,,inconclusive agonist,inconclusive agonist,54.941,55.8317,inconclusive antagonist,61.6448,-63.771,inconclusive agonist,,,inconclusive antagonist,54.941,-120.663,inactive,SIGMA
3625,144210637,2478,CS(=O)(=O)OCCCCOS(=O)(=O)C,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,inactive,SIGMA
